Image	Name	Object.ID	Class	Parent	ROI	Centroid.X.µm	Centroid.Y.µm	Num.Detections	Num.Other..base.	Num.Stroma..base.	Num.Tumour_cells..base.	Num.Other..Negative	Num.Other..Positive	Num.Stroma..Negative	Num.Stroma..Positive	Num.Tumour_cells..Negative	Num.Tumour_cells..Positive	Stroma..Positive..	Other..Positive..	Tumour_cells..Positive..	Other...Stroma...Tumour_cells..Positive..	Area.µm.2	Perimeter.µm	block
holstf_HF007_BA016_Ki67_Clinical.tif - Series 0	Tumor	2e7d9925-a946-47f4-9d1e-6c6552022fa9	Tumor	Image	Rectangle	8219	12948.1	6287	189	219	5879	184	5	214	5	5809	70	2.283	2.646	1.191	1.272	1e+06	4000	BA016
holstf_HF007_BA016_Ki67_Clinical.tif - Series 0	Tumor	d6469f73-fccd-4a15-906c-b3c2dfb04cb5	Tumor	Image	Rectangle	9309	13022.9	6517	246	500	5771	243	3	498	2	5729	42	0.4	1.22	0.7278	0.7212	1e+06	4000	BA016
holstf_HF007_BA016_Ki67_Clinical.tif - Series 0	Tumour_cells	94691ea8-24b7-4a95-b6ab-468bcb8c84cc	Tumour_cells	Image	Polygon	4137.6	11525.5	11	0	0	11	0	0	0	0	11	0	NA	NA	0	0	1601.8	142.59	BA016
holstf_HF007_BA016_Ki67_Clinical.tif - Series 0	Tumour_cells	a051473e-8d63-4c31-b03b-ed4380b8d3e5	Tumour_cells	Image	Polygon	4632.6	16790.7	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	152.98	47.12	BA016
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumor	9a6a6478-b313-48e6-b7f5-7bd5521d90c6	Tumor	Image	Rectangle	11807.9	23305.9	5617	828	629	4160	775	53	609	20	4004	156	3.18	6.401	3.75	4.077	1e+06	4000	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumor	bac5f549-39d9-4e00-80ae-e1c7357a6cf3	Tumor	Image	Rectangle	14549	22851.2	4695	819	651	3225	801	18	640	11	3163	62	1.69	2.198	1.922	1.938	1e+06	4000	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumor	cfd30959-a1da-4ab4-bec2-c17e4a5051d0	Tumor	Image	Rectangle	13959	16766.2	4665	1053	632	2980	1034	19	631	1	2891	89	0.1582	1.804	2.987	2.337	1e+06	4000	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumor	e1b5ff8b-c626-4210-92f0-bd93a4c91d2e	Tumor	Image	Rectangle	14414.2	14799.2	4569	707	495	3367	666	41	492	3	3295	72	0.6061	5.799	2.138	2.539	1e+06	4000	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumor	8c61c8df-098f-405d-a39d-f144eb4e2a76	Tumor	Image	Rectangle	12742.1	19986.8	4507	699	971	2837	692	7	969	2	2814	23	0.206	1.001	0.8107	0.71	1e+06	4000	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumor	93f1f2da-e8a3-4092-adb0-4ca7b900ed6b	Tumor	Image	Rectangle	14204.9	19077.2	4273	797	1029	2447	780	17	1023	6	2372	75	0.5831	2.133	3.065	2.293	1e+06	4000	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumor	cc121601-c1b9-4321-a550-a56552bdc6f6	Tumor	Image	Rectangle	12754.1	21981.6	4900	931	658	3311	918	13	652	6	3236	75	0.9119	1.396	2.265	1.918	1e+06	4000	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumour_cells	0b908097-2471-474f-b0fb-7d549b0a265b	Tumour_cells	Image	Polygon	11845.4	23423	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	230.06	56.06	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumour_cells	eb2599ab-730b-42a2-b374-b2fdb34296db	Tumour_cells	Image	Polygon	11836.6	23303.9	1	0	0	1	0	0	0	0	1	0	NA	NA	0	0	230.06	56.06	BA018
holstf_HF007_BA018_Ki67_Clinical.tif - Series 0	Tumour_cells	c2ec7e02-195c-4276-b664-9ef98b178ab9	Tumour_cells	Image	Polygon	11870.5	23335.6	2	0	0	2	0	0	0	0	2	0	NA	NA	0	0	230.06	56.06	BA018
